name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,start
Kilian Stuba,2019,47.34858,10.17114,Kleinwalsertal,Austria,87568,Creative,2000,https://guide.michelin.com/at/en/vorarlberg/kleinwalsertal/restaurant/kilian-stuba,1
Pfefferschiff,2019,47.83787,13.07917,Hallwang,Austria,5300,Classic cuisine,2000,https://guide.michelin.com/at/en/salzburg-region/hallwang/restaurant/pfefferschiff,1
Esszimmer,2019,47.80685,13.03409,Salzburg,Austria,5020,Creative,2000,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/esszimmer,1
Carpe Diem,2019,47.80001,13.04006,Salzburg,Austria,5020,Market cuisine,2000,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/carpe-diem,1
Edvard,2019,48.216503,16.36852,Wien,Austria,1010,Modern cuisine,1800,https://guide.michelin.com/at/en/vienna/wien/restaurant/edvard,1
Das Loft,2019,48.21272,16.37931,Wien,Austria,1020,Modern cuisine,2000,https://guide.michelin.com/at/en/vienna/wien/restaurant/das-loft,1
Pramerl & the Wolf,2019,48.20945,16.37174,Wien,Austria,1090,Creative,2000,https://guide.michelin.com/at/en/vienna/wien/restaurant/pramerl-the-wolf,1
Walter Bauer,2019,48.20923,16.37672,Wien,Austria,1010,Classic cuisine,2000,https://guide.michelin.com/at/en/vienna/wien/restaurant/walter-bauer,1
SHIKI,2019,48.204067,16.37098,Wien,Austria,1010,Japanese,2000,https://guide.michelin.com/at/en/vienna/wien/restaurant/shiki,1
Tian,2019,48.20513,16.37456,Wien,Austria,1010,Vegetarian,2000,https://guide.michelin.com/at/en/vienna/wien/restaurant/tian,1
aend,2019,48.18957,16.34115,Wien,Austria,1010,Modern cuisine,2000,https://guide.michelin.com/at/en/vienna/wien/restaurant/aend,1
Le Ciel by Toni Mörwald,2019,48.20209,16.37156,Wien,Austria,1010,Classic cuisine,2000,https://guide.michelin.com/at/en/vienna/wien/restaurant/le-ciel-by-toni-morwald,1
Chez TJ,2019,37.39468,-122.08044,South San Francisco,California,94041,Contemporary,1800,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/chez-tj,1
Protégé,2019,37.427853,-122.14362,South San Francisco,California,94301,Contemporary,1600,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/protege,1
Madera,2019,37.42014,-122.21151,San Francisco,California,94025,Contemporary,1600,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madera,1
The Village Pub,2019,37.42897,-122.25178,San Francisco,California,94062,Contemporary,1600,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-village-pub,1
Plumed Horse,2019,37.25648,-122.03537,South San Francisco,California,95070,Contemporary,1800,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/plumed-horse,1
Wakuriya,2019,37.52114,-122.3366,San Francisco,California,94402,Japanese,1800,https://guide.michelin.com/us/en/california/san-francisco/restaurant/wakuriya,1
Sushi Yoshizumi,2019,37.565075,-122.3211,San Francisco,California,94401,Japanese,1800,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sushi-yoshizumi,1
Rasa,2019,37.577522,-122.345985,San Francisco,California,94010,Indian,1400,https://guide.michelin.com/us/en/california/san-francisco/restaurant/rasa,1
Maum,2019,37.72669,-122.414215,South San Francisco,California,94101,Korean,1800,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/maum,1
Al's Place,2019,37.748924,-122.42013,San Francisco,California,94110,Californian,1400,https://guide.michelin.com/us/en/california/san-francisco/restaurant/al-s-place,1
Aster,2019,37.755054,-122.423134,San Francisco,California,94110,Californian,1600,https://guide.michelin.com/us/en/california/san-francisco/restaurant/aster,1
Omakase,2019,37.77077,-122.40298,San Francisco,California,94103,Japanese,1800,https://guide.michelin.com/us/en/california/san-francisco/restaurant/omakase,1
Commonwealth,2019,37.761395,-122.41946,San Francisco,California,94110,Contemporary,1400,https://guide.michelin.com/us/en/california/san-francisco/restaurant/commonwealth,1
Luce,2019,37.78194,-122.40498,San Francisco,California,94103,Contemporary,1600,https://guide.michelin.com/us/en/california/san-francisco/restaurant/luce,1
Birdsong,2019,37.779495,-122.41048,San Francisco,California,94101,American,1800,https://guide.michelin.com/us/en/california/san-francisco/restaurant/birdsong,1
In Situ,2019,37.785633,-122.40113,San Francisco,California,94103,International,1800,https://guide.michelin.com/us/en/california/san-francisco/restaurant/in-situ,1
Mourad,2019,37.78695,-122.39987,San Francisco,California,94105,Moroccan,1600,https://guide.michelin.com/us/en/california/san-francisco/restaurant/mourad,1
Hashiri,2019,37.783062,-122.40754,San Francisco,California,94103,Japanese,1800,https://guide.michelin.com/us/en/california/san-francisco/restaurant/hashiri,1
Angler,2019,37.793167,-122.39213,San Francisco,California,94101,Contemporary,1800,https://guide.michelin.com/us/en/california/san-francisco/restaurant/angler,1
Rich Table,2019,37.774914,-122.42271,San Francisco,California,94102,Contemporary,1600,https://guide.michelin.com/us/en/california/san-francisco/restaurant/rich-table,1
Kin Khao,2019,37.785267,-122.40951,San Francisco,California,94102,Thai,1400,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kin-khao,1
